ID de la réponse;Date de soumission;Dernière page;Date de lancement;Date de la dernière action;Avez-vous été confronté, que ce soit en tant que victime ou témoin, à des contenus haineux ou injurieux sur internet ?;De quelle nature étaient-ils ?  [Raciste];De quelle nature étaient-ils ?  [Antisémite];De quelle nature étaient-ils ?  [Xénophobe];De quelle nature étaient-ils ?  [Sexiste];De quelle nature étaient-ils ?  [LGBTphobe];De quelle nature étaient-ils ?  [En raison de votre religion];De quelle nature étaient-ils ?  [En raison d'un handicap];De quelle nature étaient-ils ?  [Diffamatoire];De quelle nature étaient-ils ?  [Injurieux];De quelle nature étaient-ils ?  [Harcèlement];De quelle nature étaient-ils ?  [Menace];De quelle nature étaient-ils ?  [Autre];Les avez-vous signalés au site qui les hébergeait ?;Si oui, quelle suite a été donnée à votre signalement ?;Si oui, quelle suite a été donnée à votre signalement ? [Autre];Si non, pourquoi ? ;Les avez-vous signalés à la justice ?;Si oui, une réponse judiciaire satisfaisante vous a-t-elle été apportée ?;Si oui, une réponse judiciaire satisfaisante vous a-t-elle été apportée ? [Autre];Si non, pourquoi ? ;Connaissez-vous la plateforme PHAROS, qui permet de signaler à la police et à la gendarmerie certains contenus et comportements illégaux observés sur internet ?;Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Par des dispositifs de signalement accessibles et simples d’usage];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Par la mise en place par les opérateurs numériques d’outils de détection automatique];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Par la suppression de l’anonymat sur internet];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Je ne sais pas];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Autre];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Personne, internet doit être un espace libre et non régulé];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Les opérateurs numériques eux-mêmes];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Une autorité indépendante (Défenseur des droits, CSA, HADOPI, ARCEP…)];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Une administration nationale (ministère de l’Intérieur, de l’Économie…)];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Une autorité ou une administration européenne];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [L’autorité judiciaire];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Je ne sais pas];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Autre];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Une peine de mise à l’épreuve, de travail d’intérêt général ou de stage];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Une peine d’amende];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Une peine de prison];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [L’interdiction temporaire d’accéder à internet ou à un ou plusieurs sites internet];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Je ne sais pas];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Autre];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Une peine de mise à l’épreuve, de travail d’intérêt général ou de stage];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Une peine d’amende];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Une peine de prison];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [L’interdiction temporaire d’exercer leur activité];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Je ne sais pas];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Autre];Vous avez ? ;Vous êtes ...
11;18/04/2019 16:31;3;18/04/2019 16:29;18/04/2019 16:31;Oui, de temps en temps;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Non;;Oui;Autre;Parfois retrait, parfois rien;;;;;;Oui;Oui;Non;Non;Non;;Non;Non;Non;Non;Non;Oui;Non;;Oui;Non;Non;Non;Non;;Oui;Oui;Non;Non;Non;;Entre 25 et 39 ans;Un homme
12;18/04/2019 16:33;3;18/04/2019 16:31;18/04/2019 16:33;Oui, rarement;Oui;Non;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Non;;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Non;Oui;Non;Non;Non;;Oui;Non;Non;Non;Non;Non;Non;;Oui;Non;Non;Non;Non;;Non;Non;Non;Non;Oui;;Entre 25 et 39 ans;Un homme
13;18/04/2019 16:36;3;18/04/2019 16:33;18/04/2019 16:36;Oui, souvent;Oui;Non;Non;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui;;Oui;Je ne sais pas;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Oui;Non;;Non;Non;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Entre 18 et 24 ans;Un homme
14;18/04/2019 16:42;3;18/04/2019 16:38;18/04/2019 16:42;Oui, souvent;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;;Oui;Aucune suite donnée au signalement;;;Oui;Je ne sais pas;;;Oui;Non;Non;Non;Non;La liberté d'expression est le droit le plus sacré;Oui;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Oui;Aucune peine d'aucune sorte;Non;Non;Non;Non;Oui;Les opérateurs ne sont pas des gendarmes;Entre 25 et 39 ans;Un homme
15;18/04/2019 16:42;3;18/04/2019 16:39;18/04/2019 16:42;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;;Non;;;Vous pensez que cela est inutile;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Oui;Oui;Non;Oui;Non;;Non;Oui;Non;Non;Oui;Oui;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Entre 40 et 59 ans;Une femme
16;18/04/2019 16:42;3;18/04/2019 16:39;18/04/2019 16:42;Oui, souvent;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;;Non;;;Vous ne le souhaitez pas;Non;;;Vous pensez que cela est inutile;Non;Non;Oui;Non;Non;;Non;Non;Oui;Oui;Oui;Non;Non;;Oui;Oui;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Entre 18 et 24 ans;Une femme
17;18/04/2019 16:42;3;18/04/2019 16:40;18/04/2019 16:42;Oui, de temps en temps;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;;Non;;;Vous ne le souhaitez pas;Non;;;Vous ne le souhaitiez pas;Oui;Non;Non;Non;Non;Il faut laisser l'expression libre et arrêter de tout vouloir censurer.;Oui;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non;Aucune sanction;Non;Non;Non;Non;Non;Aucune;Entre 25 et 39 ans;Un homme
18;18/04/2019 16:45;3;18/04/2019 16:41;18/04/2019 16:45;Oui, de temps en temps;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Oui;;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Oui;Oui;Non;Non;Non;;Non;Non;Non;Non;Non;Non;Non;personne, car les différentes juridictions nationales rendent impossible une régulation unique au niveau mondial.;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Entre 40 et 59 ans;Un homme
19;18/04/2019 16:46;3;18/04/2019 16:42;18/04/2019 16:46;Oui, souvent;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;Oui;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Non;Non;;Non;Non;Oui;Oui;Oui;Non;Non;;Oui;Non;Non;Oui;Non;;Non;Non;Non;Non;Non;Il faut arrêter de dé responsabiliser l'individu, il est l'unique responsable du contenu haineux. Lorsqu'un jeune tag une insulte sur un mur dans la rue, vous ne sanctionnez pas le constructeur du mur qui l'a fait et laissé écrire dessus.;Entre 18 et 24 ans;Un homme
20;18/04/2019 16:55;3;18/04/2019 16:51;18/04/2019 16:55;Oui, rarement;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Non;;Oui;Je ne sais pas;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Non;Non;;Oui;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non;Aucune car la culpabilité est difficilement démontrable;Non;Non;Non;Non;Non;Aucune;Entre 18 et 24 ans;Une femme
21;18/04/2019 16:56;3;18/04/2019 16:52;18/04/2019 16:56;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Oui;Non;Non;Non;Non;Vous devez créer des plateformes où les gens doivent s'exprimer de manière identifiée, et laisser l'anonymat exister ailleurs ..;Oui;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non;Aucune sanction;Non;Non;Non;Non;Non;Aucune sanction;Entre 25 et 39 ans;Un homme
22;;2;18/04/2019 16:55;18/04/2019 16:57;Oui, de temps en temps;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Non;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;Non;Non;;Non;Non;Oui;Non;Non;;Non;Non;Oui;Non;Non;;;
23;18/04/2019 17:00;3;18/04/2019 16:55;18/04/2019 17:00;Oui, de temps en temps;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;;Oui;Je ne sais pas;;;Non;;;Vous pensez que cela est inutile;Oui;Oui;Non;Non;Non;;Non;Non;Non;Non;Non;Oui;Non;;Oui;Oui;Non;Non;Non;;Non;Non;Non;Non;Non;quels operateurs numériques ?;Entre 18 et 24 ans;Un homme
24;18/04/2019 17:00;3;18/04/2019 16:57;18/04/2019 17:00;Oui, souvent;Oui;Oui;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;;Oui;Je ne sais pas;;;Non;;;Vous ne saviez pas que cela était possible;Oui;Oui;Oui;Non;Non;;Non;Oui;Oui;Non;Non;Oui;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;70 ans et plus;Un homme
25;18/04/2019 17:00;3;18/04/2019 16:57;18/04/2019 17:00;Oui, souvent;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Oui;Non;Oui;;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Non;Oui;Oui;Oui;Non;;Non;Non;Oui;Oui;Non;Oui;Non;;Oui;Non;Non;Oui;Non;;Oui;Non;Non;Oui;Non;;Entre 25 et 39 ans;Une femme
26;;2;18/04/2019 17:00;18/04/2019 17:01;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Oui;Non;Non;Non;Oui;;Non;Non;Non;Non;Non;Oui;Non;;Oui;Non;Non;Non;Non;;Non;Oui;Non;Non;Non;;;
27;18/04/2019 17:02;3;18/04/2019 17:00;18/04/2019 17:02;Oui, souvent;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Oui;Oui;Oui;Non;Non;;Non;Oui;Non;Non;Non;Oui;Non;;Oui;Oui;Non;Non;Non;;Non;Oui;Oui;Non;Non;;Entre 25 et 39 ans;Une femme
28;;0;18/04/2019 17:04;18/04/2019 17:04;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;
29;18/04/2019 17:11;3;18/04/2019 17:05;18/04/2019 17:11;Oui, de temps en temps;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Et bien d'autres, ce qui devrait être autorisé sans restriction.;Non;;;Vous ne le souhaitez pas;Non;;;Vous ne le souhaitiez pas;Oui;Non;Non;Non;Non;L'Etat n'a pas à identifier quelque contenu en ligne que ce soit étant donné que ce n'est pas son rôle.;Oui;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non;Aucune sanction.;Non;Non;Non;Non;Non;Aucune sanction.;Entre 18 et 24 ans;Un homme
30;18/04/2019 17:10;3;18/04/2019 17:08;18/04/2019 17:10;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Non;Non;Non;Non;Oui;;Non;Non;Non;Non;Oui;Oui;Non;;Non;Oui;Oui;Non;Non;;Non;Oui;Non;Non;Non;;Entre 12 et 17 ans;Un homme
31;18/04/2019 17:13;3;18/04/2019 17:09;18/04/2019 17:13;Oui, rarement;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;;Non;;;Vous ne le souhaitez pas;Non;;;Vous ne le souhaitiez pas;Oui;Non;Non;Non;Non;Un outil permettant de les masquer efficacement;Oui;Non;Non;Non;Non;Non;Non;Si modération il y a, je pense qu’elle serait mieux gérée si elle était communautaire;Non;Non;Non;Non;Oui;;Non;Non;Non;Oui;Non;;Entre 18 et 24 ans;Un homme
32;21/04/2019 17:24;3;18/04/2019 17:20;21/04/2019 17:24;Oui, de temps en temps;Non;Oui;Non;Non;Non;Non;Non;Oui;Oui;Oui;Oui;;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Non;Oui;Oui;Oui;Non;;Non;Oui;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;70 ans et plus;Une femme
33;18/04/2019 17:33;3;18/04/2019 17:30;18/04/2019 17:33;Oui, de temps en temps;Oui;Oui;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Non;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous ne saviez pas que cela était possible;Non;Oui;Non;Non;Non;;Non;Oui;Oui;Non;Non;Oui;Non;;Oui;Oui;Non;Non;Non;;Oui;Oui;Non;Non;Non;;Entre 18 et 24 ans;Je ne souhaite pas répondre
34;18/04/2019 17:38;3;18/04/2019 17:37;18/04/2019 17:38;Oui, de temps en temps;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Oui;Oui;Non;Non;Non;;Non;Non;Oui;Non;Non;Oui;Non;;Non;Non;Non;Oui;Non;;Oui;Non;Non;Oui;Non;;Entre 25 et 39 ans;Un homme
35;18/04/2019 17:43;3;18/04/2019 17:38;18/04/2019 17:43;Oui, de temps en temps;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Non;Non;;Non;Non;Non;Non;Non;Non;Non;Le diffuseur de l'information;Non;Non;Non;Non;Non;L'interdiction d'utiliser le diffuseur où il a poster le message;Non;Non;Non;Non;Non;Aucune : l'opérateur n'a aucune responsabilité dans ce genre d'affaire;Entre 25 et 39 ans;Un homme
36;18/04/2019 17:57;3;18/04/2019 17:54;18/04/2019 17:57;Oui, de temps en temps;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Oui;Non;Non;Non;Non;Par collaboration de la plateforme d'hébergement sur demande du tribunal;Oui;Non;Non;Non;Non;Oui;Non;;Non;Oui;Oui;Non;Non;;Non;Oui;Non;Non;Non;;Entre 18 et 24 ans;Un homme
37;18/04/2019 18:01;3;18/04/2019 17:57;18/04/2019 18:01;Oui, de temps en temps;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;;Oui;Je ne sais pas;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Oui;Oui;Oui;Non;Non;;Non;Non;Oui;Non;Oui;Oui;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 25 et 39 ans;Un homme
38;18/04/2019 18:00;3;18/04/2019 17:58;18/04/2019 18:00;Oui, souvent;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;;Oui;Aucune suite donnée au signalement;;;Non;;;;Oui;Oui;Non;Non;Non;;Non;Non;Oui;Non;Non;Non;Non;;Oui;Non;Non;Non;Non;Avertissements répétés avant sanction;Non;Oui;Non;Non;Non;;Entre 40 et 59 ans;Un homme
39;18/04/2019 18:04;3;18/04/2019 18:02;18/04/2019 18:04;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non;;Oui;Retrait du contenu;;;Non;;;Vous pensez que cela est inutile;Non;Oui;Non;Non;Non;;Non;Oui;Non;Non;Oui;Non;Non;;Oui;Non;Non;Non;Non;;Non;Oui;Non;Non;Non;;Entre 18 et 24 ans;Un homme
40;18/04/2019 18:06;3;18/04/2019 18:03;18/04/2019 18:06;Oui, de temps en temps;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;;Non;;;Vous pensez que cela est inutile;Non;;;Vous ne le souhaitiez pas;Oui;Oui;Non;Non;Non;;Oui;Non;Non;Non;Non;Oui;Non;;Non;Non;Non;Non;Non;Pas de sanction, mais de l'information;Non;Non;Non;Non;Oui;;Entre 18 et 24 ans;Un homme
